Norsk,Engelsk
utstyr,equipment
angrer,regrets
gule,yellow
kanal,channel
ruby,ruby
helikopter,helicopter
klage,complain
himmel,heaven
sittende,sitting
forbrytelse,crime
nedover,downwards
ropte,shouted
føltes,felt
walt,walt
tt,tt
kalder,calling
ronnie,Ronnie
tillegg,addition
skiltet,the sign
stormen,the storm
trukket,drawn
natur,nature
overflaten,the surface
hjemmefra,from home
ekspert,expert
utenom,except
udenfor,outside
avgjort,settled
rykter,rumours
avsluttet,concluded
generalen,the general
jakke,jacket
pupper,tits
slip,slip
forældre,parents
journalist,journalist
oppføre,behave
prøven,the sample
stykket,the piece
helikopteret,the helicopter
held,luck
endrer,changing
biblioteket,the library
øve,practice
klok,wise
utviklet,developed
sinne,anger
sawyer,sawyer
sebastian,sebastian
forsøke,attempt
tvunget,forced
tillater,allows
kristus,Christ
spansk,Spanish
september,September
pearl,pearl
politikk,policy
tiger,tiger
sætte,put
alligevel,anyway
rotta,rat
troen,the faith
mordere,murderers
familier,families
minnet,the memory
gjem,hide
krysset,crossed
elaine,Elaine
jada,Yes
seth,Seth
overbevist,convinced
alkohol,alcohol
sønner,sons
lander,lands
teit,silly
lønn,payment
forlovet,engaged
vart,lasted
stede,present
sultne,hungry
heks,witch
seint,late
julenissen,Santa Claus
paulie,Paulie
landets,of the country
dyrene,the animals
oppi,up
fangene,the prisoners
overgi,surrender
markedet,the market
glasset,the glass
marinen,the navy
kramer,hugs
forsikre,insure
madame,ma'am
rollen,the role
skrek,screamed
buddy,buddy
trykke,print
rase,race
bestilt,ordered
skrik,scream
fjerner,removes
sloss,fight
fetter,cousin
hemmeligheten,the secret
hannah,hannah
hørtes,was heard
fyrer,guys
led,suffered
senatet,the senate
ross,ross
dræbt,killed
trappen,the stairs
tilbød,offered
fødselsdag,birthday
umiddelbart,immediately
overbevise,convince
roligt,calmly
nancy,nancy
jamen,well
forfatter,author
fremme,advance
fortid,past
drage,dragon
italiensk,Italian
låter,tunes
innser,realize
kirke,church
vend,turn
hoved,main
pasienter,patients
carrie,carry
skille,separate
spania,Spain
avsløre,disclose
cirka,approximately
lawrence,Lawrence
maskin,machine
luk,close
mellem,between
sørover,southwards
telle,count
roe,calmness
lignende,the like
forskning,research
bortkastet,wasted
little,little
eve,Eve
barbara,Barbara
stark,strong
bytter,change
vognen,the cart
svake,weak
bukser,pants
søke,seek
andrew,andrew
lily,lily
fjols,fool
cindy,cindy
brua,the bridge
ringede,called
find,find
spil,games
jin,gin
ideen,the idea
trives,thrive
jakte,hunt
storartet,magnificent
kvalm,nauseous
anderson,anderson
røv,ass
mektig,powerful
vekket,awakened
bomber,bomber
julia,Julia
sand,sandy
forhandle,negotiate
fuld,full
tisse,Pee
værsgo,good weather
kroner,NOK
rømte,escaped
begå,commit
innså,realized
pastor,pastor
sentrum,downtown
muligt,possible
kyle,cold
stjerner,stars
rotte,rat
løfter,promises
skulderen,the shoulder
fyller,fills
island,Iceland
ører,ears
fabrikken,the factory
santa,Santa
dexter,dexter
chef,chief
hjælper,helps
knærne,the knees
forestillingen,the performance
oppnå,achieve
fæle,hideous
Carlos,Carlos
fortsatte,continued
kjerring,old woman
Houston,Houston
ligeglad,don't care
antakelig,probably
naturen,nature
bind,volumes
låse,lock
bygde,built
nevne,mention
vinteren,the winter
niks,nothing
lyn,lightning
grå,grey
jøde,Jew
ledet,led
sparer,saving
bygning,building
rotter,roots
utføre,perform
avgjøre,decide
biff,steak
forsvaret,the defense
stjernen,the star
plads,space
cobb,cobb
oppførsel,behavior
sanger,singer
døgnet,around the clock
overraske,surprise
cm,cm
christopher,christopher
jamie,jamie
fascinerende,fascinating
lnn,lnn
tjente,served
hengt,hanged
medisinen,the medicine
dømme,judge
godtar,accepts
delte,shared
døv,deaf
fordel,advantage
vinder,wins
politisk,political
ryktet,the rumor
bakover,backwards
alarmen,the alarm
forstar,understand
blikk,glance
dusj,shower
november,November
presis,accurate
grant,grant
enkle,simple
inviterte,invited
butikk,shop
smarte,smart
bernie,Bernie
reparere,repair
fornuft,common sense
mektige,powerful
trolig,probably
trærne,the trees
dusin,dozen
baseball,baseball
hate,hate
cuba,cuba
club,club
yo,yo
stolthet,pride
on,Wed
gid,please
nydelige,lovely
tilbudet,the offer
styret,the board
legene,the doctors
kollega,colleague
lewis,lewis
pikk,dick
etterforsker,investigator
våt,wet
rev,Fox
grad,degree
band,band
fjell,Mountain
samvittighet,conscience
kysten,Coast
murphy,murphy
rejse,travel
tørst,thirst
plukket,picked
brakk,fallow
baker,bakes
betydning,importance
fordømt,condemned
sverige,Sweden
sigaretter,cigarettes
begått,committed
andel,share
lande,country
sverget,swore
josh,josh
robinson,robinson
stu,stu
bena,the legs
gruppen,the group
befinner,located
nyter,enjoying
vask,wash
fingeravtrykk,fingerprint
duke,tablecloth
donna,donna
øker,increases
forklar,explain
flyktet,fled
slaver,slaves
begrave,bury
intelligent,intelligent
senk,lower
dypere,deeper
sinnssyk,insane
kassen,the box
beder,prays
værre,worse
molly,molly
oscar,oscar
jungelen,the jungle
siktet,charged
humor,mood
bunnen,the bottom
forsvarer,Defender
billett,ticket
føtter,feet
taylor,Taylor
handling,action
modell,model
tilgang,access
aaron,Aaron
jd,jd
hilsen,greeting
tekster,texts
resultatet,the result
skjærer,cuts
oppdager,discovers
gjestene,guests
anledning,occasion
brenn,burn
rot,root
julen,Christmas
county,county
frykten,the fear
tøffe,tough
uger,weeks
motstand,resistance
lur,nap
plukke,pick
trent,trained
støv,dust
mellomtiden,the meantime
nordover,North
slange,hose
brudd,break
piken,the girl
kontrakten,the contract
grusom,cruel
snut,muzzle
sætter,looked for
alexander,alexander
kelso,Kelso
lenny,Lenny
hårdt,hard
pakken,the package
praktisk,practical
forandring,change
ms,etc
daisy,daisies
hænder,hands
magisk,Magical
skadd,injury
kjennes,can be felt
kirk,church
drenge,boys
enhet,unit
ali,ali
jill,jill
øje,eye
kvinder,women
stilte,silenced
tjent,earned
gangs,hallway
tårnet,the tower
enna,yet
bevare,preserve
innsiden,the inside
enterprise,enterprise
norske,Norwegian
vanskelige,difficult
forberede,prepare
avhengig,dependent
dude,dude
rørte,stirred
juni,June
corleone,corleone
darryl,darryl
hang,hung
inneholder,contains
godta,accept
utført,done
alles,everyone's
læreren,the teacher
veska,purse
skjermen,the screen
dræber,kills
arbejdet,the work
skyldes,is due
utvei,way out
sigarett,cigarette
korporal,corporal
haster,urgent
representerer,representing
dikt,poem
pokkers,dammit
harris,harris
psykiater,psychiatrist
nabolaget,the neighborhood
tøj,clothes
chakotay,chakotay
eh,eh
grenser,borders
søstre,sisters
harde,hard
nådd,reached
forgiftet,poisoned
forretning,business
klokke,clock
løftet,attic
kortene,the cards
midlertidig,temporary
gus,gus
innpå,in on
albert,Albert
advarer,warns
utrolige,incredible
seinere,later
stoffet,the substance
feirer,celebrating
militære,military
jonathan,Jonathan
serien,the series
datamaskinen,the computer
clay,clay
virus,virus
tvinger,forces
brillene,the glasses
uskadd,unharmed
wall,wall
tiders,times
garasjen,the garage
menig,Private
presten,the priest
buksa,the pants
mal,goal
øjnene,the eyes
findes,are found
ron,ron
prue,taste
ia,i.a
blikket,the gaze
mate,feed
status,status
sol,sun
forrest,at the front
brooklyn,brooklyn
milliarder,billions
jennifer,Jennifer
clark,clark
jay,yay
godmorgen,good morning
egypt,Egypt
inntrykk,impression
drinker,drinks
forstyrret,disturbed
vennskap,friendship
søppel,garbage
ma'am,ma'am
eieren,the owner
trær,trees
iiker,iike
sludder,nonsense
bingo,bingo
besked,message
tillykke,good luck
puppene,the tits
forbannelse,curse
bibelen,the bible
sykkelen,the bike
presser,presses
ej,not
art,species
tynn,thin
uniform,uniform
årets,of the year
rå,raw
jakter,hunting
snø,snow
trykker,presses
cola,coke
goddag,good day
manden,the man
gider,bother
mm,etc
søde,cute
kysser,kisses
tunnelen,the tunnel
oet,oet
walker,walker
karrieren,the career
lane,borrow
lomma,pocket
slottet,the castle
frekk,rude
feste,attach
kompisen,the buddy
engelske,English
turner,gymnast
mulige,possible
blande,mix
kjempebra,Very good
offisielt,official
hverken,neither
briller,glasses
steiner,stones
enormt,enormously
gwen,gwen
svi,sting
åstedet,the crime scene
maleriet,the painting
sydney,sydney
tau,rope
forsiktige,careful
bagasjen,the luggage
pappas,dad's
vurdere,consider
ku,cow
lloyd,lloyd
ansigt,face
ofret,the victim
vakreste,most beautiful
fattige,poor
admiral,admiral
tilhørte,belonged to
brakt,brought
ass,ass
golf,golf
hor,whore
hugo,Hugo
godnat,good night
vand,water
elvis,Elvis
våres,ours
dytt,pushed
betal,pay
bart,mustache
celle,cell
dusjen,the shower
krone,crown
jævler,bastards
heroin,heroin
aftale,agreement
ricky,ricky
fucking,fucking
daggry,dawn
kjeder,chains
bursdag,birthday
drømmene,the dreams
kansas,Kansas
menneskelige,human
nakne,naked
grep,grip
prosjekt,project
lfølge,following
ånden,the spirit
tropp,troop
brydde,cared
jager,chasing
menneskeheten,humanity
mistenkt,suspect
pilot,pilot
akseptere,accept
russell,Russell
overstått,over
inkludert,including
flokken,the flock
feiging,coward
brakte,brought
vakten,the guard
vitnet,the witness
vanvittig,crazy
bursdagen,the birthday
skallen,the skull
levert,delivered
rope,reveal
sport,sport
lånte,borrowed
samarbeide,cooperate
leken,playful
fiske,fishing
kors,cross
kriminelle,criminals
kutter,cutter
britiske,British
moskva,Moscow
anderledes,differently
gandalv,gandalf
viruset,the virus
fandens,damn it
vanskeligere,more difficult
innsats,effort
danset,danced
skremt,scared
idiotisk,idiotic
advarte,warned
sliter,struggling
lån,loan
ærede,honorable
forårsaket,caused
jesse,Jesus
sprit,booze
kærlighed,love
rita,draw
lod,plumb line
sikkerhed,security
tokyo,tokyo
kne,knee
varene,the goods
skjønn,beautiful
delt,shared
casey,casey
tank,tank
skiller,separates
unnskyid,sorry
minus,minus
flykter,flees
blue,blue
bjørn,bear
festlig,festive
bitt,bite
tallene,the numbers
informasjonen,the information
felix,felix
styrker,strengths
wallace,Wallace
maler,painter
kilde,source
holly,holly
fortapt,lost
dansen,the dance
mørk,dark
buss,bus
shaw,shaw
fetteren,cousin
broa,the bridge
sidst,lastly
elev,pupil
verdig,worthy
blåse,blow
helter,heroes
avenue,avenue
drite,crap
rumpe,rump
nate,Nate
kør,choir
vejret,the weather
makker,mate
pam,pam
dastan,dastan
helg,weekend
svær,severe
usynlig,invisible
blomstene,the flowers
helten,the hero
binde,bind
dets,its
fugler,birds
willie,willie
spøkelse,ghost
vampyrer,vampires
fox,fox
penn,pen
sikke,for sure
løbe,run
begyndte,began
diane,Diane
kes,kes
overens,agree
anklager,accusing
revolveren,the revolver
oppleve,experience
vogna,the carriage
konsentrer,concentrate
mai,May
baksiden,the back
tyder,suggest
telefoner,telephones
tørr,dry
latter,laughter
stilt,silenced
stanser,stops
sprer,spreads
dårligt,bad
nicholas,nicholas
hjerter,hearts
ammunisjon,ammunition
dermed,thus
hensikt,purpose
påstår,claims
filme,film
applaus,applause
spørger,asks
holdes,is held
mene,mean
ulykkelig,unhappy
farta,speed up
stående,standing
vekt,weight
mesteren,the master
følsom,sensitive
købe,buy
hertil,here
angela,Angel
demon,demon
pierre,Pierre
feig,coward
røret,the pipe
rop,cry
vedde,bet
spenn,span
øm,about
tvers,across
klippe,cliff
leverer,delivers
raketter,rockets
håndtere,handle
skyder,clouds
friske,fresh
elendige,miserable
planene,the plans
krangler,fighting
leir,camp
justin,justin
erjo,is
skjoldene,the shields
huet,hat
forstået,understood
mist,lost
timene,the hours
femti,fifty
vogn,wagon
vinger,wings
fyll,fill
rettigheter,rights
beveg,move
ford,forward
east,east
kg,kg
ofrene,the victims
sun,Sun
rakettene,the rockets
summer,hums
eva,Eva
straffen,the punishment
plaget,bothered
smør,butter
overtale,persuade
suppe,soup
sovnet,asleep
ashley,Ashley
flukt,escape
jaget,chased
eldste,oldest
fester,parties
militæret,the military
blinde,blind
skipene,the ships
merr,more
keith,Keith
noah,noah
kid,kid
mick,mick
juliet,July
desmond,Desmond
fischer,fishermen
armer,arms
hurra,hurray
insisterer,insists
måltid,meal
består,pass
guttungen,the boy
midler,funds
herrens,the master's
feber,fever
utover,beyond
skyggen,the shadow
vind,wind
beordret,ordered
besøker,visiting
mislykkes,fail
white,white
raske,fast
sjåfør,driver
forbered,prepare
medisinsk,medical
borgermesteren,the mayor
tess,thess
vesen,being
vodka,vodka
søstera,the sister
kødde,meat
baxter,baxter
sookie,sookie
populær,popular
forræder,traitor
råtne,rotten
forhindre,prevent
dorothy,dorothy
bestandig,always
partnere,partners
franklin,franklin
skudt,shot
syg,sick
dyret,the animal
profesjonell,professional
mystisk,mysterious
overraskende,surprising
tjenester,services
hensyn,consideration
margaret,Margaret
emily,Emily
uventet,unexpected
konstant,constant
nyttig,useful
ulv,wolf
seattle,seattle
ape,monkey
detroit,Detroit
flau,embarrassed
jakka,jacket
enheter,units
sidde,sit
mærke,brand
horton,horton
woody,woody
kick,kick
svømmer,swimming
jess,jeez
fyrene,the guys
stillhet,silence
grundig,thorough
kontaktet,contacted
kjøleskapet,the refrigerator
fullføre,complete
august,August
lam,lamb
fisker,fisherman
bokser,boxer
base,base
gjör,do
otto,Otto
omringet,surrounded
fattig,poor
krysse,cross
knyttet,attached
pat,pat
grusomme,cruel
travis,travis
løslatt,released
træt,tired
merlin,merlin
kendte,known
enklere,simpler
hevet,raised
tålmodig,patient
lig,corpse
forlovede,fiancé
teppet,the carpet
handel,trade
lovlig,lawful
perry,Perry
veidig,vastly
svikter,fails
dumpet,dumped
kjapp,quick
naboen,the neighbor
likene,the corpses
warp,warp
blander,mix
india,India
stress,stress
wade,wade
trøst,comfort
brente,burned
sinna,mind
teppe,carpet
galning,madman
omvendt,reverse
oppgaven,the task
spørsmålene,the questions
javisst,sure
jobba,work
skyde,shoot
skamme,shame
vinneren,the winner
stillingen,the position
vesten,the west
testen,the test
ettersom,eventually
kameraten,the mate
frykte,fear
uflaks,unlucky
tidspunktet,the time
besluttet,decided
hodepine,headache
tungen,the tongue
hæ,what
judy,judy
misforståelse,misconception
kontrollerer,controls
tristan,tristan
cameron,cameron
bassenget,the pool
fremover,forwards
kur,cure
spart,saved
knep,trick
last,cargo
vindu,window
begikk,committed
slemt,bad
hmm,hmm
elever,pupils
behagelig,agreeable
halen,the tail
nytter,benefits
reaksjon,reaction
koma,coma
marshall,Marshall
derinde,in there
earl,earl
øh,uh
følgende,following
fornærmet,insulted
kongens,the king's
riket,the kingdom
istedenfor,instead of
skinner,shine
gaven,the gift
dukk,doll
friheten,the freedom
risiko,risk
lars,Lars
th,th
rodney,rodney
forsøkt,tried
troll,troll
trengt,needed
nært,close
forsikring,insurance
motta,receive
daniels,Daniels
är,year
godkjent,approved
vesken,the bag
ødelegg,destroy
salen,the hall
obersten,the colonel
katter,cats
våren,the spring
etterlater,leaves behind
nedenunder,below
ankommer,arrives
bransjen,the industry
vrede,anger
phillip,philip
leide,rented
pasientene,the patients
utroligt,unbelievable
gj,ex
skyd,shoot
robot,robot
benet,the leg
fangen,the prisoner
føl,foal
skjær,cut
blomst,flower
mitch,Mitch
arizona,Arizona
fisken,the fish
håndjern,handcuffs
davis,Davis
torres,dried
unødvendig,unnecessary
skjulte,hidden
steven,Steve
smerter,pains
hovedkvarteret,headquarters
vitenskap,science
styrbord,starboard
fremad,forward
gjengjeld,in return
artig,fun
fenrik,ensign
overtar,take over
esken,the box
interessante,interesting
dennis,Dennis
troy,troy
rebecca,rebecca
samantha,Samantha
straffet,punished
vri,twist
ubehagelig,unpleasant
lastebil,truck
landsby,village
anbefaler,recommend
styrken,the strength
avgjør,decide
gin,gin
forbli,stay
ekstremt,extremely
stasjon,station
virginia,virginia
road,road
south,south
knapp,button
klatrer,climber
druknet,drowned
piper,pipes
sinte,angry
allen,everyone
lastebilen,the truck
løser,resolves
hector,hector
verdenen,the world
søm,as
vince,Vince
værd,worth
hughes,Hughes
gotham,gotham
tjenesten,the service
seile,sail
baltimore,baltimore
akt,act
havne,port
besøkte,visited
straffe,punish
høflig,polite
vinduene,the windows
løyet,lied
rekkevidde,range
hadet,good bye
serie,series
ændre,to change
li,li
richie,Richie
rettssaken,the trial
dødt,dead
jøsses,jeez
siik,siik
fleiper,joking
beskrive,describe
blandet,mixed
dessert,dessert
sherman,Sherman
barnebarn,grandson
drinken,the drink
rane,rob
småen,the little one
bekrefte,confirm
dét,the
tal,numbers
beach,beach
hevder,claims
montana,Montana
reagerer,reacts
derude,out there
mødes,meet
posen,the bag
skør,crazy
oppfør,behave
kapittel,chapter
betaling,payment
livene,the lives
haug,heap
kjenn,know
dobbel,double
treff,meet
utsikt,view
kvart,quarter
may,May
teste,test
øverst,at the top
sekretær,secretary
heng,hang
antonio,Antonio
èn,one
connor,connor
olivia,Olivia
kryp,creep
bruden,the bride
bær,berry
tillate,allow
enorme,enormous
plukker,picks
finger,finger
meldte,reported
prosjektet,the project
lake,Lake
garantert,guaranteed
fingre,fingers
rute,route
tilgivelse,forgiveness
pose,bag
haper,hope
nekte,deny
sikkerheten,the security
dragen,the dragon
steinene,the stones
hilser,greetings
lojalitet,loyalty
nærmest,closest
alternativ,option
ulykken,the accident
uhyre,monster
samling,collection
long,long
bagen,the bag
kjaere,bro
krise,crisis
robin,robin
lavere,lower
gevær,rifle
felt,field
tara,tare
williams,williams
overfalt,assaulted
victoria,victoria
jage,chase
rømt,escaped
avis,newspaper
gammeldags,old fashioned
rattet,the steering wheel
innbrudd,burglary
keiser,emperor
byer,cities
kunstner,artist
samfunn,society
roman,novel
højre,right
fu,phew
lillebror,little brother
studerer,studying
fineste,finest
lengst,the longest
jonas,Jonas
uhøflig,rude
synker,sinks
testet,tested
ledelsen,the management
lev,live
jaha,yes
fungerte,worked
kasse,box
vinde,win
dyre,expensive
grip,grip
skilles,separate
kaken,the cake
skurk,villain
nårjeg,when I
begravd,buried
eksploderer,explodes
opptak,recording
arr,scar
sivile,civilians
sug,suction
luther,Luther
teamet,the team
mobil,mobile
træk,drag
skød,shot
billede,picture
mindste,smallest
sykdommen,the disease
leppene,the lips
pussig,weird
kø,queue
detaljene,the details
skåret,cut
sendes,is sent
ekle,disgusting
mason,Mason
bagasjerommet,the trunk
kula,bullet
mel,flour
randy,randy
bede,pray
knægt,kid
masken,the mask
nyheten,the news
merkelige,strange
fronten,the front
prinsessen,the princess
tragisk,tragic
opprør,rebellion
veggene,the walls
halvveis,half way
kaker,cakes
crane,crane
mynt,coin
sjette,sixth
gård,farm
duger,will do
foreløpig,for the time being
intervju,interview
louise,louise
konsentrere,concentrate
fatte,grasp
frelse,salvation
forste,first
right,right
balboa,balboa
sjakk,chess
forestilling,performance
kreftene,the forces
out,out
gress,grass
bly,lead
forbindelsen,the connection
bell,bell
nef,nose
kigger,looking
zodiac,zodiac
aiitid,time
studerte,studied
salg,sale
posisjonen,the position
egoistisk,selfish
bang,Bang
filmet,filmed
givet,granted
terapi,therapy
helmer,helmets
dejligt,nice
identifisere,identify
livstid,lifetime
delene,the parts
føde,give birth
beholdt,retained
koselig,cosy
juryen,the jury
tørke,drought
fiks,fixed
nissen,Santa
politifolk,police officers
mafiaen,the mafia
wendy,wendy
kig,look
hete,heat
evnen,the ability
antall,Number
favoritt,favorite
guder,gods
smile,smile
orleans,orleans
avhenger,depends
peker,pointing
språket,the language
velsignet,blessed
sprenger,explodes
begravet,buried
overgir,Surrender
kvitte,sign off
mississippi,mississippi
brus,soda
kane,sled
formål,purpose
øvelse,exercise
belønning,reward
alvorlige,serious
spy,puke
beltet,the belt
virkelighet,reality
mammaen,the mom
rådgiver,adviser
hurley,hurley
nese,nose
omgås,socialize
ytre,exterior
satse,bet
joseph,Joseph
forsyninger,supplies
advokater,lawyers
dyp,deep
bur,cage
spent,excited
låser,locks
forsterkninger,reinforcements
kameraer,cameras
patetisk,pathetic
brandon,Brandon
tas,taken
mickey,mickey
slangen,the snake
episode,episode
gina,gina
debbie,Debbie
demonen,the demon
nicky,nicky
krigere,warriors
tårer,tears
cash,cash
museet,the museum
vekker,wakes up
garanterer,guarantees
baken,the butt
brud,bride
stella,Stella
hule,cave
teorien,the theory
up,up
skjold,shield
martha,Martha
oversettelse,translation
mikey,Mikey
kay,kay
shelly,shelly
skarp,sharp
fredelig,peaceful
myk,soft
teater,Theatre
høyde,height
blått,blue
dropp,drop
kanin,rabbit
detektiv,detective
hills,hills
sykepleier,nurse
toby,toby
klør,itches
tispe,bitch
master,masters
spurgte,asked
neil,neil
enestående,outstanding
ienge,ieng
ukjente,unknown
bommet,missed
syne,sight
ballet,ballet
konto,account
droppe,drop
pistoler,pistols
lekte,played
vitsen,the joke
gleden,the joy
søkte,searched
frukt,fruit
avbryte,interrupt
uti,out
uttrykk,expression
kos,food
smakt,tasted
xenzai,xenzai
sjøl,self
ægte,real
buzz,buzz
vild,wild
pang,bang
tipper,tips
kikket,peeked
transport,transportation
flagget,the flag
diger,giants
samtaler,conversations
kreve,demand
vred,angry
lommeboka,the wallet
verdi,value
uttrykket,the expression
låste,locked
hv,wh
politiske,political
forlade,leave
peiling,bearing
prinsen,the prince
kanten,the edge
foreslå,suggest
lokal,local
innrømmer,admits
tjukken,the fat one
ridder,knight
australia,Australia
verk,works
aktivitet,Activity
hop,hop
ordfører,Mayor
kæmpe,fight
erklærer,declares
hurtig,fast
guvernør,governor
lester,reads
hytta,the cabin
bekrefter,confirms
bade,both
richards,richards
kjemp,fight
francis,Francis
negativ,negative
konger,kings
etterforskningen,the investigation
maximus,maximus
desværre,unfortunately
fase,phase
bønn,prayer
roser,roses
maken,the husband
støvlene,the boots
skuffe,disappoint
mottar,receives
drukne,drown
sikter,aims
svikte,failed
edru,sober
carson,carson
tonen,the tone
overraskelser,surprises
paradis,paradise
svinger,swings
allierte,Allies
overbetjent,superintendent
maske,mask
pater,father
lyse,bright
usikker,unsure
uniformen,the uniform
sjåføren,the driver
korte,short
rulle,roll
True,THREATEN
januar,January
caroline,caroline
sykestua,infirmary
kørte,drove
utvist,expelled
stige,ladder
flyter,floats
påvirket,affected
stuart,Stuart
frk,Ms
identitet,identity
mangel,lack
forstod,understood
underveis,along the way
trafikken,the traffic
militær,military
karakter,character
spring,spring
lara,Lara
kung,king
aktivert,enabled
påvirker,affect
central,central
styrte,overthrow
diamanter,diamonds
pillene,the pills
vendte,turned
direktøren,the director
skammer,shame
skatter,taxes
hjørne,corner
tropper,troops
mon,Mon
logisk,logical
smittet,infected
bernard,Bernard
røvhul,asshole
ira,anger
gloria,glory
vendt,facing
konkurranse,competition
oppover,upwards
offiserer,officers
vinen,the wine
påvirke,influence
oppdage,discover
rydd,tidy up
kompani,company
aviser,newspapers
indianere,Indians
daglig,daily
broadway,broadway
drakten,the suit
forsiden,the front page
bikkja,the bitch
vestover,westward
passere,pass
ubåten,the submarine
læse,read
humlesnurr,bumblebee
plasser,places
gul,yellow
streng,string
sullivan,sullivan
lykken,the luck
puls,pulse
førstebetjent,first officer
amerikas,America
plantet,planted
ønsk,desire
behandlingen,the treatment
ovnen,the oven
heather,heather
slås,fight
billeder,pictures
gabriel,Gabriel
brad,brad
jed,eat
oswald,Oswald
marissa,Marissa
sjenert,shy
konkurransen,the competition
billetten,the ticket
knipe,predicament
gjerdet,the fence
sårede,wounded
ruth,ruth
massevis,a lot
indianerne,the Indians
borgermester,mayor
løsningen,the solution
naboene,the neighbors
bekjempe,combat
apropos,speaking of
beroligende,Calming
vurderer,considering
herinde,in here
jævlene,the bastards
opplevelse,experience
svære,difficult
mannskap,crew
